path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,4,384,6,7168,3072,286.7,284.7,290.8,111607.1,20.666
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,4,384,6,7168,3072,540.7,537.6,550.0,473456.8,20.626
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,4,384,6,7168,3072,603.1,600.0,608.2,3395585.7,20.633
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,4,384,6,7168,3072,921.1,888.8,1024.0,8893830.1,20.639
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,4,384,6,7168,3072,3093.5,2951.2,3288.1,10592464.5,20.641
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,304.2,300.0,350.2,105185.7,23.204
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,562.2,558.1,569.3,455373.4,23.175
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,621.6,619.5,753.1,3294892.8,23.163
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,760.8,754.7,773.1,10767613.0,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1897.4,1749.0,1969.1,17269584.7,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,310.4,303.4,324.8,103108.7,23.206
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,575.5,569.9,584.6,444827.5,23.177
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,621.8,618.5,627.8,3293621.1,23.165
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,758.1,751.6,790.3,10805335.3,23.167
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1880.4,1738.8,1933.3,17425634.9,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,312.8,307.5,338.9,102286.1,23.342
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,570.1,566.2,580.6,449047.2,23.316
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,607.2,603.1,612.3,3372681.4,23.303
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,715.7,709.6,740.4,11445432.7,23.306
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1836.5,1655.8,1941.6,17842207.6,23.305
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,309.2,306.2,313.6,103476.8,25.017
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,566.0,561.4,570.4,452296.8,24.972
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,601.1,597.0,607.3,3407245.8,24.958
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,695.3,691.2,723.9,11782575.0,24.959
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1773.6,1629.2,1837.8,18475750.8,24.958
