path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,128,4,2880,2880,111.6,109.3,119.8,286697.2,23.120
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,128,4,2880,2880,125.9,123.9,128.3,2033036.9,23.133
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,128,4,2880,2880,150.5,146.4,594.3,13605442.3,23.101
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,128,4,2880,2880,261.1,254.9,705.5,31374471.2,23.117
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,128,4,2880,2880,697.3,689.2,1140.7,46990799.1,23.111
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,128,4,2880,2880,113.9,111.5,136.2,280977.8,23.123
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,128,4,2880,2880,132.5,130.0,139.3,1931900.6,23.134
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,128,4,2880,2880,150.5,146.4,158.8,13605442.3,23.102
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,128,4,2880,2880,261.0,252.8,265.5,31391784.4,23.118
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,128,4,2880,2880,678.9,673.1,686.1,48266598.9,23.112
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,128,4,2880,2880,116.7,111.9,121.8,274122.8,23.256
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,128,4,2880,2880,135.6,132.1,142.4,1887460.2,23.277
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,128,4,2880,2880,150.0,144.4,157.7,13654789.7,23.244
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,128,4,2880,2880,259.1,252.9,266.2,31622506.1,23.258
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,128,4,2880,2880,609.3,599.0,617.6,53781513.5,23.253
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,128,4,2880,2880,115.1,109.5,670.7,278125.4,24.938
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,128,4,2880,2880,132.1,130.0,700.4,1937984.6,24.955
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,128,4,2880,2880,150.5,146.4,689.2,13608334.6,24.907
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,128,4,2880,2880,252.7,244.7,1171.5,32415321.5,24.915
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,128,4,2880,2880,551.9,545.8,600.1,59369205.4,24.912
