path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,4,512,10,4096,1024,129.0,127.0,172.0,248015.9,20.564
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,4,512,10,4096,1024,194.6,192.5,299.0,1315789.4,20.599
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,4,512,10,4096,1024,233.5,229.3,348.2,8771929.7,20.588
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,4,512,10,4096,1024,495.6,491.6,518.3,16528926.0,20.596
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,4,512,10,4096,1024,1772.8,1743.9,1806.3,18483754.2,20.600
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,145.7,143.3,780.3,219587.2,23.091
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,213.0,210.3,218.1,1202013.4,23.151
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,253.9,249.8,258.0,8065532.8,23.114
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,459.0,454.9,468.0,17846561.5,23.130
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1506.0,1492.9,1513.4,21758993.6,23.132
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,167.8,165.6,171.7,190675.9,23.094
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,264.3,261.3,270.3,968640.2,23.154
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,256.0,251.9,260.1,8001000.0,23.117
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,461.8,457.7,467.9,17739588.7,23.133
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1544.7,1531.6,1553.8,21213345.5,23.135
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,161.8,156.7,169.0,197784.8,23.216
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,238.6,228.4,243.7,1072961.4,23.293
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,243.8,240.6,252.9,8398950.3,23.256
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,391.0,386.1,396.3,20952692.9,23.272
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1270.8,1266.7,1275.9,25785656.3,23.274
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,157.7,152.6,171.0,202942.7,24.826
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,234.5,227.6,250.9,1091703.1,24.946
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,238.6,236.5,244.7,8583691.0,24.909
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,361.6,357.6,369.6,22654866.5,24.924
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1100.9,1091.7,1106.9,29765711.5,24.929
