path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,4,384,8,7168,2048,247.9,247.8,261.2,129098.9,20.599
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,4,384,8,7168,2048,413.7,410.6,416.8,618811.9,20.655
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,4,384,8,7168,2048,461.8,459.7,464.9,4435050.7,20.623
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,4,384,8,7168,2048,743.5,741.3,767.0,11018335.0,20.633
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,4,384,8,7168,2048,2700.8,2616.3,2730.0,12132557.6,20.637
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,8,7168,2048,257.0,252.9,275.5,124517.5,23.168
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,8,7168,2048,408.6,406.5,444.4,626566.4,23.214
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,8,7168,2048,472.6,469.0,482.3,4333694.5,23.168
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,8,7168,2048,658.4,654.3,665.6,12442284.3,23.160
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,8,7168,2048,1762.2,1757.2,1777.7,18595360.2,23.162
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,8,7168,2048,277.5,271.6,282.4,115333.6,23.171
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,8,7168,2048,445.2,439.6,456.7,575084.4,23.216
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,8,7168,2048,476.2,472.1,489.5,4301075.4,23.170
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,8,7168,2048,650.2,646.0,656.4,12599975.7,23.162
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,8,7168,2048,1809.4,1805.2,1814.5,18109791.1,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,8,7168,2048,265.2,261.1,273.4,120641.8,23.298
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,8,7168,2048,425.3,420.9,432.2,601933.7,23.352
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,8,7168,2048,454.6,451.6,460.8,4504980.0,23.309
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,8,7168,2048,580.6,576.5,591.9,14110125.1,23.301
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,8,7168,2048,1523.2,1449.0,1546.2,21513057.5,23.303
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,8,7168,2048,263.2,261.1,274.5,121595.3,24.976
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,8,7168,2048,424.0,419.6,428.2,603819.2,25.013
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,8,7168,2048,449.0,444.7,455.7,4561491.1,24.961
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,8,7168,2048,545.8,543.7,549.9,15009381.3,24.954
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,8,7168,2048,1409.5,1375.2,1469.5,23247630.9,24.956
