path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,4,384,6,7168,3072,290.8,288.7,293.8,110035.2,20.666
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,4,384,6,7168,3072,549.6,546.6,552.6,465752.6,20.626
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,4,384,6,7168,3072,609.3,606.2,614.4,3361344.6,20.633
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,4,384,6,7168,3072,824.3,818.5,839.9,9937695.0,20.639
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,4,384,6,7168,3072,2587.6,2509.8,2630.6,12663236.9,20.641
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,306.2,302.1,317.4,104515.0,23.204
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,571.4,568.3,591.0,448053.8,23.175
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,632.8,628.7,639.3,3236164.2,23.163
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,762.8,758.8,774.1,10739831.8,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1593.9,1582.1,1605.7,20558946.6,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,310.3,306.7,313.8,103135.3,23.206
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,581.0,578.6,584.4,440601.4,23.177
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,642.6,629.9,1509.4,3186854.3,23.165
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,758.8,753.7,762.8,10796221.4,23.167
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1635.5,1606.7,1643.6,20035609.8,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,312.3,308.2,318.5,102459.0,23.342
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,577.0,574.4,582.6,443680.3,23.316
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,617.5,613.4,625.7,3316749.6,23.303
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,711.7,709.6,715.9,11510791.4,23.306
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1501.4,1449.0,1551.4,21824382.1,23.305
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,384,6,7168,3072,310.5,307.2,313.3,103071.5,25.017
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,384,6,7168,3072,573.4,571.2,589.8,446428.6,24.972
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,384,6,7168,3072,610.4,607.2,618.5,3355440.7,24.958
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,384,6,7168,3072,693.2,691.0,709.2,11817384.0,24.959
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,384,6,7168,3072,1459.7,1394.7,1566.7,22448509.9,24.958
