path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,4,512,10,4096,1024,129.0,127.0,291.8,248015.9,20.564
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,4,512,10,4096,1024,195.5,192.5,200.7,1309221.8,20.599
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,4,512,10,4096,1024,231.4,227.3,365.6,8849557.4,20.588
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,4,512,10,4096,1024,492.5,487.3,497.7,16632016.8,20.596
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,4,512,10,4096,1024,1759.2,1731.2,1815.6,18626140.1,20.600
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,144.4,142.3,159.1,221631.2,23.091
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,212.0,209.9,224.3,1207729.4,23.151
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,269.3,250.9,315.4,7604562.9,23.114
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,449.5,443.4,477.5,18225829.0,23.130
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1463.3,1456.1,1476.6,22392792.3,23.132
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,165.2,163.1,181.3,193667.1,23.095
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,264.5,260.6,287.7,967995.7,23.154
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,263.2,252.9,301.1,7781154.6,23.117
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,455.4,450.8,469.0,17990161.8,23.133
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1502.2,1498.4,1551.4,21812992.4,23.135
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,160.8,154.6,177.2,199044.6,23.216
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,236.5,231.4,243.5,1082251.1,23.293
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,241.6,238.6,248.8,8475137.3,23.256
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,375.8,373.7,383.4,21798365.1,23.272
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1203.2,1198.0,1237.0,27234042.9,23.274
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,4,512,10,4096,1024,156.7,148.5,169.0,204248.4,24.826
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,4,512,10,4096,1024,239.3,232.4,3873.2,1069733.2,24.946
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,4,512,10,4096,1024,238.6,234.2,252.3,8584266.6,24.909
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,4,512,10,4096,1024,349.2,346.8,356.4,23460410.1,24.924
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,4,512,10,4096,1024,1037.3,1032.2,1041.4,31590314.2,24.929
