path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,93.2,91.1,188.4,686813.2,23.064
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,95.2,91.2,275.5,5380864.2,23.125
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,132.2,128.1,152.6,30985233.4,23.092
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,173.1,169.0,345.2,47328526.7,23.098
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,240.7,238.5,278.3,68062480.2,23.102
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,379.9,376.8,483.3,86257002.5,23.109
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,697.4,695.1,740.4,93972971.3,23.107
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,95.4,93.2,287.6,671028.3,23.065
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,99.4,97.1,302.4,5151320.2,23.126
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,136.2,132.1,327.7,30071655.6,23.092
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,177.2,172.0,251.4,46221902.0,23.099
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,244.8,242.5,250.9,66936856.2,23.103
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,383.8,381.8,414.7,85376024.2,23.110
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,697.2,693.0,800.7,94001006.2,23.108
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,97.4,95.2,157.7,657138.2,23.212
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,101.4,99.3,187.4,5048911.5,23.268
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,132.0,128.0,143.2,31030301.4,23.232
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,169.0,164.9,751.5,48484847.0,23.239
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,226.4,222.1,520.2,72372606.2,23.243
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,339.1,336.8,478.2,96644802.0,23.250
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,607.3,605.1,639.0,107920117.0,23.248
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,97.2,93.1,192.5,658111.2,24.876
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,101.3,97.3,278.5,5053695.7,24.929
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,127.9,123.8,230.8,32032030.8,24.897
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,165.0,161.8,334.0,49646077.5,24.900
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,222.1,217.2,286.7,73769900.1,24.904
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,329.6,326.5,550.9,99407824.7,24.909
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,541.7,539.5,762.9,120975835.9,24.907
