path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,8,256,8,7168,2048,170.8,166.8,174.2,374637.1,20.592
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,8,256,8,7168,2048,184.4,179.2,298.0,2776572.7,20.622
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,8,256,8,7168,2048,282.6,278.6,457.8,14495215.7,20.634
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,1024,8,256,8,7168,2048,465.0,462.8,584.7,17616295.3,20.639
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,8,256,8,7168,2048,809.4,791.6,1315.9,20241154.0,20.636
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,4096,8,256,8,7168,2048,1604.6,1557.4,1838.1,20421797.7,20.641
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,8,256,8,7168,2048,3236.3,2989.0,3298.4,20250260.5,20.641
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,8,7168,2048,171.0,166.8,177.2,374321.5,23.179
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,8,7168,2048,183.3,181.2,204.8,2792808.5,23.175
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,256,8,7168,2048,267.3,261.2,283.6,15325670.0,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,256,8,7168,2048,375.8,371.7,393.2,21800221.8,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,256,8,7168,2048,576.5,570.3,593.1,28419184.0,23.160
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,256,8,7168,2048,1045.5,1014.9,1051.6,31342782.1,23.165
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,256,8,7168,2048,2031.6,1999.9,2072.6,32257811.3,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,8,7168,2048,185.3,181.2,222.2,345333.7,23.182
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,8,7168,2048,207.9,204.7,327.7,2462675.1,23.177
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,256,8,7168,2048,271.2,267.2,494.6,15100572.3,23.168
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,256,8,7168,2048,384.0,379.8,414.7,21330667.0,23.166
