path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,8,384,8,7168,2048,206.9,203.6,211.0,309382.0,20.614
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,8,384,8,7168,2048,253.9,250.8,261.2,2016510.2,20.641
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,8,384,8,7168,2048,313.4,309.2,322.6,13069893.4,20.631
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,1024,8,384,8,7168,2048,450.7,445.4,456.9,18177945.2,20.634
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,8,384,8,7168,2048,816.7,803.7,838.7,20060337.4,20.638
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,4096,8,384,8,7168,2048,1626.6,1526.9,1657.8,20145583.7,20.640
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,8,384,8,7168,2048,3136.6,2972.7,3312.7,20894014.7,20.641
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,210.0,208.0,225.2,304808.4,23.177
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,246.8,243.7,251.0,2074285.4,23.173
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,320.6,317.5,325.6,12775726.5,23.162
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,384,8,7168,2048,408.6,405.3,416.7,20050124.7,23.163
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,384,8,7168,2048,621.6,615.2,650.2,26359142.3,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,384,8,7168,2048,1089.1,1047.5,1131.6,30088443.2,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,384,8,7168,2048,2110.4,2045.9,2122.7,31053829.2,23.166
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,226.3,220.1,272.5,282825.4,23.179
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,271.4,269.2,313.3,1886792.4,23.175
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,321.1,318.2,419.9,12755991.6,23.164
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,384,8,7168,2048,412.7,408.5,524.3,19851116.0,23.165
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,384,8,7168,2048,644.0,635.8,667.6,25440361.8,23.168
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,384,8,7168,2048,1072.1,1066.9,1120.2,30563513.2,23.169
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,384,8,7168,2048,2147.2,2123.5,2159.5,30520926.8,23.168
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,218.1,214.0,302.1,293470.3,23.309
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,257.1,254.9,899.1,1991659.9,23.315
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,301.0,297.9,463.9,13609058.8,23.304
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,384,8,7168,2048,354.8,351.0,357.5,23091146.4,23.304
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,384,8,7168,2048,558.1,551.9,582.6,29356115.1,23.307
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,384,8,7168,2048,900.7,878.6,939.1,36381077.9,23.308
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,384,8,7168,2048,1762.2,1640.2,1774.6,37189369.4,23.307
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,218.0,213.9,251.9,293513.3,24.948
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,257.0,252.9,323.6,1992155.9,24.963
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,291.8,287.8,434.2,14035088.3,24.955
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,384,8,7168,2048,340.9,335.8,447.5,24033045.2,24.956
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,384,8,7168,2048,527.4,521.2,628.7,31067017.1,24.959
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,384,8,7168,2048,866.2,834.5,880.6,37827853.9,24.960
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,384,8,7168,2048,1643.5,1567.7,1660.8,39876942.7,24.960
