path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,93.2,91.0,124.9,686813.2,23.064
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,95.1,91.1,164.9,5385392.1,23.125
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,132.2,130.0,138.2,30973987.3,23.092
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,175.1,172.1,805.9,46792177.1,23.098
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,246.8,244.6,309.2,66390041.1,23.102
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,386.1,383.7,394.2,84873602.0,23.109
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,709.6,706.7,840.6,92358339.8,23.107
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,97.2,93.1,166.2,658544.6,23.066
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,99.4,97.2,137.2,5152979.2,23.126
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,136.3,134.1,195.4,30050475.7,23.093
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,179.2,170.9,284.6,45702044.7,23.099
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,248.9,246.7,571.4,65835156.2,23.103
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,388.1,386.1,616.4,84425753.8,23.110
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,709.7,706.6,922.4,92347929.7,23.108
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,97.3,94.9,186.4,658002.9,23.212
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,101.4,99.3,849.8,5047318.7,23.268
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,130.1,125.9,829.4,31480568.8,23.232
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,173.1,168.9,351.2,47315404.3,23.239
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,230.4,226.3,591.8,71101234.8,23.243
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,347.7,343.3,551.9,94247583.3,23.250
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_mxfp8,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,619.5,617.3,777.2,105796054.5,23.248
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,128,4,2880,2880,97.3,95.2,240.7,657786.5,24.876
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,128,4,2880,2880,101.3,99.2,105.6,5055292.4,24.929
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,128,4,2880,2880,128.9,123.7,190.4,31781501.8,24.897
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,128,4,2880,2880,168.0,162.7,601.1,48775840.4,24.900
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,128,4,2880,2880,222.2,219.2,428.0,73727411.1,24.904
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,128,4,2880,2880,332.9,329.6,491.3,98437878.4,24.909
mega,mega,fused_symm_mega,nvfp4_cutedsl+combine_nvfp4,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,128,4,2880,2880,549.4,545.6,646.2,119295184.8,24.907
