path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8,8,512,10,4096,1024,112.7,109.5,303.1,568020.4,20.508
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,64,8,512,10,4096,1024,130.6,125.9,133.2,3921087.9,20.591
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,512,8,512,10,4096,1024,194.6,191.4,367.6,21052630.9,20.589
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,1024,8,512,10,4096,1024,311.2,308.1,583.5,26323908.1,20.591
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,2048,8,512,10,4096,1024,546.8,542.8,992.3,29960793.5,20.595
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,4096,8,512,10,4096,1024,1023.0,1017.8,1269.7,32031030.4,20.593
mega,mega,fused_symm_mega,deep_gemm_mega,no,fp4_int8_block32,bfloat16,fp8_e4m3fn_block32,8192,8,512,10,4096,1024,1992.7,1954.8,2184.2,32887974.8,20.595
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,512,10,4096,1024,123.9,121.7,138.3,516528.9,23.015
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,512,10,4096,1024,142.4,140.3,145.4,3595505.7,23.116
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,512,10,4096,1024,212.0,209.8,231.4,19320754.9,23.100
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,512,10,4096,1024,302.1,300.0,484.4,27112900.6,23.109
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,512,10,4096,1024,474.0,471.9,476.1,34564234.4,23.122
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,512,10,4096,1024,871.3,867.2,878.6,37609726.5,23.122
mega,mega,fused_symm_mega,nvfp4_cutedsl,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,512,10,4096,1024,1649.6,1645.6,1654.7,39728033.6,23.126
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8,8,512,10,4096,1024,150.4,146.4,248.8,425396.1,23.017
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,64,8,512,10,4096,1024,180.7,179.0,390.1,2833613.8,23.119
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,512,8,512,10,4096,1024,216.1,213.9,227.1,18953135.2,23.103
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,1024,8,512,10,4096,1024,316.2,310.2,353.2,25904376.6,23.112
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,512,10,4096,1024,482.3,480.1,522.2,33971402.8,23.124
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,4096,8,512,10,4096,1024,893.9,889.7,931.7,36658492.8,23.125
mega,mega,fused_symm_mega,nvfp4_cutedsl+ikr,no,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,512,10,4096,1024,1707.1,1704.0,1751.0,38390881.7,23.129
