path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8,8,256,8,7168,2048,324.3,307.1,1707.6,197374.9,114.1,14.7,96.6,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,64,8,256,8,7168,2048,801.7,340.8,1603.7,638607.9,159.8,8.5,530.8,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,512,8,256,8,7168,2048,389.2,366.6,625.5,10525450.5,168.0,5.0,124.5,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,2048,8,256,8,7168,2048,2258.4,1995.2,2567.6,7254642.4,403.4,2.6,343.5,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8192,8,256,8,7168,2048,4079.8,3890.0,4318.8,16063627.8,1313.8,2.6,1197.5,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8,8,384,8,7168,2048,331.3,311.4,1529.1,193180.7,114.4,8.8,121.8,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,64,8,384,8,7168,2048,809.4,339.6,1563.5,632561.1,155.5,9.3,518.2,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,512,8,384,8,7168,2048,388.0,380.4,490.3,10556700.7,164.8,2.6,125.1,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,2048,8,384,8,7168,2048,2256.7,2091.2,2598.1,7260042.7,404.6,2.6,336.3,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8192,8,384,8,7168,2048,4314.7,4092.9,4528.1,15189103.6,1362.9,2.6,1196.3,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8,8,128,4,2880,2880,318.8,299.7,2019.5,200722.6,103.1,8.5,127.9,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,64,8,128,4,2880,2880,286.7,253.7,1453.8,1785813.9,113.0,9.3,82.6,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,512,8,128,4,2880,2880,298.0,268.5,440.9,13745704.3,119.8,8.8,96.5,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,2048,8,128,4,2880,2880,436.0,426.8,556.7,37577981.3,143.9,8.7,206.6,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8192,8,128,4,2880,2880,2578.8,2337.2,2806.2,25413528.3,380.9,2.6,668.1,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8,8,512,10,4096,1024,212.0,199.1,1544.1,301932.4,78.8,8.7,64.2,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,64,8,512,10,4096,1024,342.8,307.6,1634.9,1493512.6,128.4,9.0,80.4,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,512,8,512,10,4096,1024,377.4,363.6,478.1,10853436.4,138.0,2.7,119.2,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,2048,8,512,10,4096,1024,2183.2,2035.1,2748.9,7504635.7,302.6,2.6,305.6,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8192,8,512,10,4096,1024,3760.3,3625.5,4047.4,17428600.4,1006.1,2.6,1018.3,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,8,8,256,6,4096,2048,315.9,297.0,1312.7,202593.2,102.1,7.8,123.6,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,64,8,256,6,4096,2048,315.2,265.4,1587.3,1624612.9,117.4,9.0,84.2,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,512,8,256,6,4096,2048,315.9,297.5,431.1,12964651.1,117.9,8.8,104.5,nan
fi_split,ht,nccl_ep_ht_flat,identity,no,none,bfloat16,bfloat16,2048,8,256,6,4096,2048,1973.5,1856.1,2305.4,8301984.7,238.6,2.6,282.0,nan
