path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,256,8,7168,2048,119.6,111.0,1342.9,535331.9,47.3,2.6,50.6,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,256,8,7168,2048,560.4,144.0,1067.8,913580.9,55.0,2.6,269.7,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,256,8,7168,2048,273.8,268.1,327.5,14958513.2,120.9,2.6,117.2,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,256,8,7168,2048,82.4,79.0,123.9,776849.9,34.3,3.9,38.0,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,256,8,7168,2048,100.9,97.2,137.2,5075337.0,41.9,2.6,41.0,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,256,8,7168,2048,268.1,264.2,295.7,15278109.3,129.6,2.6,117.2,nan
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,8,7168,2048,688.1,650.8,1921.7,93012.4,57.9,495.0,93.1,23.174
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,8,7168,2048,1370.2,985.7,1659.6,373679.0,58.8,803.4,323.1,23.185
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,256,8,7168,2048,4802.0,4669.3,5100.2,852980.8,142.8,4345.4,208.6,23.142
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,8,7168,2048,628.1,591.1,763.7,101887.5,41.2,499.2,50.6,23.174
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,8,7168,2048,1024.4,988.5,1076.5,499789.1,52.9,769.5,74.2,23.185
