path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ht,nccl_ep_ht_flat,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,1386.6,855.6,1885.4,46155.8,102.0,968.3,107.0,23.180
fi_split,ht,nccl_ep_ht_flat,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,1466.4,1019.5,1894.3,349154.4,165.0,690.7,502.7,23.173
fi_split,ht,nccl_ep_ht_flat,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,1745.3,1720.2,2228.3,2346879.8,185.3,1314.8,113.2,23.155
fi_split,ht,nccl_ep_ht_flat,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,2048,8,384,8,7168,2048,6110.3,5942.7,6299.5,2681393.4,408.6,3653.6,352.8,23.163
fi_split,ht,nccl_ep_ht_flat,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8192,8,384,8,7168,2048,19226.5,18093.8,19985.5,3408635.0,1348.6,13623.2,2050.5,23.166
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,8,7168,2048,1451.9,933.4,1962.2,44080.5,104.6,1051.3,91.6,20.662
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,8,7168,2048,1622.5,1164.2,2140.1,315556.9,168.9,1243.8,48.6,20.658
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,8,7168,2048,2150.4,2130.6,2259.7,1904761.9,188.4,1726.3,117.3,20.639
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,2048,8,384,8,7168,2048,7711.8,7556.8,7941.4,2124543.0,412.7,5229.6,411.1,20.643
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8192,8,384,8,7168,2048,26691.1,25543.6,27936.8,2455348.4,1247.2,20465.4,2619.2,20.647
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,8,7168,2048,1906.0,1013.3,2061.8,33579.0,208.2,643.5,86.5,20.662
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,8,7168,2048,2128.6,1254.5,2295.4,240529.2,261.2,855.2,48.6,20.658
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,8,7168,2048,2182.5,2163.7,2329.7,1876764.1,240.8,1684.1,134.6,20.639
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,2048,8,384,8,7168,2048,7625.9,7454.4,7838.7,2148471.1,391.7,5128.2,404.0,20.643
fi_split,ht,nccl_ep_ht_flat,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,8192,8,384,8,7168,2048,26676.4,25706.0,27352.4,2456704.8,994.3,20500.8,2514.8,20.647
