path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,acc_loss_pct
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,16,1,48,6,7168,6144,2285.7,2275.46,2295.97,7000.0,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,32,1,48,6,7168,6144,2416.83,2406.59,2427.07,13240.5,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,64,1,48,6,7168,6144,2435.28,2425.02,2451.62,26280.3,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,128,1,48,6,7168,6144,2473.07,2461.76,2490.5,51757.5,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,512,1,48,6,7168,6144,2786.5,2776.32,2828.45,183743.0,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,1024,1,48,6,7168,6144,3888.29,3816.54,3957.86,263354.8,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,2048,1,48,6,7168,6144,5969.01,5442.72,6185.06,343105.5,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,4096,1,48,6,7168,6144,10503.41,9585.86,11141.34,389968.6,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,8192,1,48,6,7168,6144,19185.31,17130.69,20985.06,426993.4,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,12288,1,48,6,7168,6144,27356.27,23648.38,29813.86,449184.0,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,16384,1,48,6,7168,6144,37404.35,33697.98,40494.3,438023.9,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,20480,1,48,6,7168,6144,45976.83,41164.0,49367.2,445441.8,
mega,mega,p2p_direct,sm120_mxfp8_split_k1_120_k2_68,no,mxfp8_mxfp8_e4m3_block32,bfloat16,mxfp8_mxfp8_e4m3_block32,24576,1,48,6,7168,6144,53546.08,48431.23,58883.17,458969.2,
