path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,1,4,256,8,7168,2048,1245.9,1213.6,1311.4,3210.6
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,1,4,256,8,7168,2048,1147.0,1113.9,1209.7,3487.3
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,2,4,256,8,7168,2048,1301.2,1258.2,1535.8,6148.1
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,2,4,256,8,7168,2048,1297.2,1158.7,332394.6,6167.1
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,4,4,256,8,7168,2048,1309.1,1267.4,1383.4,12221.8
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,4,4,256,8,7168,2048,1301.4,1165.6,221620.3,12294.7
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,8,4,256,8,7168,2048,1335.7,1304.9,1434.3,23957.3
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,8,4,256,8,7168,2048,1372.6,1236.1,364012.2,23313.3
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,16,4,256,8,7168,2048,1465.8,1421.7,1517.1,43662.9
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,16,4,256,8,7168,2048,1456.6,1328.1,306272.1,43936.7
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,32,4,256,8,7168,2048,1522.2,1483.8,1872.1,84089.3
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,32,4,256,8,7168,2048,1413.5,1321.2,286478.7,90556.1
split,ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,64,4,256,8,7168,2048,1505.8,1471.6,1573.4,170006.6
split,ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,64,4,256,8,7168,2048,1551.0,1442.0,265840.8,165059.1
