Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.4,13795396320,230976,59726.5,14240.0,1280,180253536,446452.0,cudaMemcpyAsync
15.4,7212187648,946184,7622.4,5952.0,2048,22585088,60697.0,cudaLaunchKernel
6.9,3216332384,7624,421869.4,212384.0,35136,263906528,5321186.4,cuMemSetAccess
6.2,2908796864,304,9568410.7,9168.0,6528,79549824,23760788.6,cudaEventSynchronize
6.2,2889657696,1066,2710748.3,2848816.0,384,10163104,1417544.5,cuMemExportToShareableHandle
6.0,2827106400,273676,10330.1,10784.0,3040,3445440,12896.3,cuLaunchKernelEx
4.9,2302000352,44,52318189.8,56246480.0,48192,113269056,36977406.6,cuMulticastBindMem
3.9,1808063968,8568,211025.2,127520.0,1920,123552768,2577895.7,cudaMalloc
3.4,1610355648,127372,12642.9,12704.0,3584,1833760,18696.6,cudaLaunchKernelExC
3.0,1420258656,7060,201169.8,176512.0,704,208129216,2476501.5,cudaFree
2.2,1041002336,6532,159369.6,81504.0,9824,196596992,2553443.9,cuMemCreate
2.1,997615328,7624,130852.0,81952.0,1504,43793376,1141894.3,cuMemMap
1.4,673792000,1094,615897.6,348496.0,33408,3085600,519668.8,cuMemImportFromShareableHandle
1.4,666777888,440,1515404.3,103152.0,46912,79937824,9833904.8,cuKernelGetFunction
1.3,596490944,97011,6148.7,4160.0,1856,14350784,65823.8,cudaStreamSynchronize
1.2,567276704,217,2614178.4,6208.0,2496,141841344,19046157.4,cudaDeviceSynchronize
1.2,561200736,284,1976058.9,935904.0,27232,17087360,2785770.8,cuLibraryLoadData
0.8,375609024,4052,92697.2,63808.0,24352,1148000,88047.4,cuMemUnmap
0.6,287670720,8088,35567.6,9776.0,64,9388416,194917.7,cuMemRelease
0.4,189014976,1000876,188.8,160.0,32,16480,167.0,cuKernelGetName
0.4,169342784,186624,907.4,896.0,160,158080,902.4,cudaStreamIsCapturing
0.4,165272928,441176,374.6,288.0,64,79712,344.4,cuTensorMapEncodeTiled
0.2,97290880,37668,2582.9,2560.0,768,496256,2695.9,cudaEventRecordWithFlags
0.2,88102816,44292,1989.1,1984.0,352,123168,1589.9,cudaStreamWaitEvent
0.1,50034752,436,114758.6,54832.0,35808,4359360,419981.4,cuModuleLoadData
0.1,49494656,7596,6515.9,5056.0,864,858432,14774.8,cuMemAddressReserve
0.1,49291840,532,92653.8,5088.0,2464,889408,171155.5,cudaStreamCreateWithPriority
0.1,46624512,440,105964.8,105760.0,19840,300896,25205.1,cuLibraryUnload
0.1,42371392,440,96298.6,94096.0,42080,179296,21908.7,cuLibraryLoadFromFile
0.1,38900064,5464,7119.3,6816.0,3328,62368,2703.8,cudaMemsetAsync
0.0,19884000,436,45605.5,8656.0,2080,1714176,162181.3,cudaHostAlloc
0.0,17722912,24,738454.7,267648.0,142304,2390560,723307.5,cudaIpcOpenMemHandle
0.0,16109152,57040,282.4,224.0,32,31680,299.1,cuKernelGetAttribute
0.0,15838240,128,123736.3,23040.0,448,7560896,719089.0,cuKernelSetAttribute
0.0,13589344,38472,353.2,224.0,128,158784,2224.1,cudaThreadExchangeStreamCaptureMode
0.0,13219328,37776,349.9,224.0,160,14624,298.6,cudaGetDriverEntryPointByVersion
0.0,11325248,40,283131.2,66336.0,34848,3092128,772982.8,cudaMemPoolCreate
0.0,10664608,2548,4185.5,3168.0,1440,22208,2556.4,cudaEventQuery
0.0,8890976,4032,2205.1,1984.0,512,91616,1910.5,cuMemAddressFree
0.0,8746080,96,91105.0,17008.0,3712,1819424,211772.7,cudaStreamCreateWithFlags
0.0,8435616,40,210890.4,53376.0,6720,769088,301164.3,cuMulticastAddDevice
0.0,6677856,412,16208.4,13472.0,64,85728,9929.0,cudaMemcpy
0.0,4186528,4000,1046.6,864.0,192,15776,984.4,cuMemRetainAllocationHandle
0.0,3979840,7552,527.0,192.0,64,194528,6681.6,cuMemGetAllocationGranularity
0.0,3759712,1596,2355.7,2048.0,224,13952,1562.2,cudaEventCreateWithFlags
0.0,3732992,320,11665.6,448.0,192,202656,33548.1,cudaKernelSetAttributeForDevice
0.0,3494880,224,15602.1,14784.0,12224,45152,4883.8,cuLaunchKernel
0.0,3249632,504,6447.7,1760.0,256,538080,41986.0,cuLibraryGetKernel
0.0,3086688,15075,204.8,128.0,32,13952,238.3,cuGetProcAddress_v2
0.0,1934048,64,30219.5,21712.0,7264,197024,38944.8,cudaFreeHost
0.0,1922368,36,53399.1,54432.0,24480,95968,16306.6,cudaLibraryLoadData
0.0,1921568,764,2515.1,1376.0,576,21536,2161.5,cudaEventRecord
0.0,1688416,52,32469.5,34928.0,9760,67104,14729.3,cudaMemset
0.0,1213312,20,60665.6,60976.0,31008,129568,22152.2,cuMulticastUnbind
0.0,1056704,704,1501.0,1216.0,416,20032,1118.2,cudaEventDestroy
0.0,950304,16,59394.0,52368.0,28928,104704,24484.5,cudaMemPoolDestroy
0.0,892672,12,74389.3,75600.0,59936,88800,10775.0,cudaMemGetInfo
0.0,887104,8,110888.0,101632.0,89088,143872,21427.7,cuModuleLoad
0.0,734784,8,91848.0,98432.0,59168,136576,26734.7,cuMemGetHandleForAddressRange
0.0,592928,32,18529.0,16176.0,8320,43776,8883.2,cudaStreamDestroy
0.0,521120,232,2246.2,1888.0,1152,5248,965.0,cudaGetFuncBySymbol
0.0,499328,10,49932.8,46304.0,16192,83360,21683.7,cuMulticastCreate
0.0,495104,8,61888.0,58240.0,416,130368,65708.0,cuCtxSetCurrent
0.0,414144,232,1785.1,1632.0,1088,4480,558.2,cudaStreamGetCaptureInfo
