Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.0,13158045568,127792,102964.5,26400.0,1312,334539840,1318124.2,cudaMemcpyAsync
9.4,3029299648,1050,2885047.3,3019392.0,384,7931840,1231636.5,cuMemExportToShareableHandle
7.8,2500373952,229984,10871.9,11040.0,2592,2093664,9678.9,cuLaunchKernelEx
6.2,1996006560,4072,490178.4,202448.0,35392,130136352,4207920.3,cuMemSetAccess
5.5,1763038688,100424,17555.9,10816.0,2048,99016672,629553.1,cudaLaunchKernel
4.3,1387093856,24,57795577.3,48720784.0,32545088,96618080,22582921.5,cuMulticastBindMem
4.1,1302920416,128,10179065.8,23104.0,448,323185664,48478721.3,cuKernelSetAttribute
4.1,1300963424,108108,12033.9,12288.0,3648,2094816,17724.8,cudaLaunchKernelExC
2.3,727888032,4072,178754.4,55344.0,1888,129546144,3634901.1,cuMemMap
2.3,725232672,1070,677787.5,699312.0,40384,3390336,546097.8,cuMemImportFromShareableHandle
2.2,691580000,268,2580522.4,1197840.0,28544,21804960,3651062.2,cuLibraryLoadData
1.5,469691744,4052,115916.0,98656.0,27104,1870528,109734.3,cuMemUnmap
1.3,425763104,304,1400536.5,9120.0,5920,21558080,3907376.8,cudaEventSynchronize
1.3,404170048,1540,262448.1,174592.0,4640,24221440,1003986.6,cudaMalloc
1.1,365384032,8064,45310.5,10192.0,64,10647520,187114.2,cuMemRelease
1.0,316101696,73556,4297.4,3840.0,2496,341088,2882.1,cudaStreamSynchronize
0.9,284118368,3008,94454.2,80512.0,10656,10642752,205439.3,cuMemCreate
0.8,257536192,216,1192297.2,234064.0,2272,208353408,14161694.7,cudaFree
0.5,174076288,527864,329.8,256.0,64,51680,314.5,cuTensorMapEncodeTiled
0.4,141339488,159476,886.3,896.0,160,153664,944.9,cudaStreamIsCapturing
0.3,100180384,39348,2546.0,2432.0,768,145888,1423.9,cudaEventRecordWithFlags
0.3,83464064,42812,1949.5,1920.0,416,121248,1608.7,cudaStreamWaitEvent
0.2,70940544,464,152889.1,98656.0,31680,8225600,432040.6,cuKernelGetFunction
0.2,50786336,464,109453.3,106704.0,17952,333568,33539.5,cuLibraryUnload
0.1,43575904,464,93913.6,91280.0,42240,163648,20940.4,cuLibraryLoadFromFile
0.1,42399520,512,82811.6,5040.0,2592,1097696,159745.0,cudaStreamCreateWithPriority
0.1,41940192,432,97083.8,87872.0,60320,504256,45747.5,cuModuleLoadData
0.1,34686080,135852,255.3,256.0,32,25504,231.3,cuKernelGetName
0.1,19090560,4072,4688.3,3264.0,1088,143296,5872.0,cuMemAddressReserve
0.1,17003072,24,708461.3,298128.0,140704,1824704,623824.5,cudaIpcOpenMemHandle
0.0,15770240,57008,276.6,224.0,32,10592,214.5,cuKernelGetAttribute
0.0,15186016,308,49305.2,8432.0,2112,2027936,212560.5,cudaHostAlloc
0.0,14392608,4144,3473.1,2464.0,896,49152,2505.9,cudaEventQuery
0.0,14130048,1960,7209.2,6880.0,2912,59584,3513.5,cudaMemsetAsync
0.0,12730240,37776,337.0,224.0,160,12768,276.4,cudaGetDriverEntryPointByVersion
0.0,10747680,444,24206.5,1728.0,192,623616,101534.2,cuLibraryGetKernel
0.0,9547904,4032,2368.0,2112.0,640,32576,1557.7,cuMemAddressFree
0.0,9222464,1072,8603.0,7040.0,4032,47744,4476.2,cuLaunchKernel
0.0,8899136,20822,427.4,288.0,128,161600,2792.4,cudaThreadExchangeStreamCaptureMode
0.0,6439840,3165,2034.7,1696.0,256,17888,1569.1,cudaEventCreateWithFlags
0.0,5312608,24,221358.7,60784.0,10272,846752,315522.7,cuMulticastAddDevice
0.0,4722272,4000,1180.6,960.0,224,19424,1062.0,cuMemRetainAllocationHandle
0.0,3317600,4032,822.8,224.0,64,178304,9153.7,cuMemGetAllocationGranularity
0.0,2885952,256,11273.3,448.0,192,197408,30588.1,cudaKernelSetAttributeForDevice
0.0,2468352,36,68565.3,23248.0,4352,339840,103397.1,cudaStreamCreateWithFlags
0.0,2210464,9647,229.1,192.0,32,13888,336.5,cuGetProcAddress_v2
0.0,1966176,64,30721.5,21280.0,6560,200896,41159.1,cudaFreeHost
0.0,1801184,32,56287.0,60384.0,25024,90208,17840.2,cudaLibraryLoadData
0.0,1757440,2384,737.2,384.0,256,46400,1699.5,cudaEventDestroy
0.0,1595008,708,2252.8,1248.0,544,13856,1948.3,cudaEventRecord
0.0,1499552,68,22052.2,11648.0,5984,74336,18933.0,cudaDeviceSynchronize
0.0,1396384,12,116365.3,118336.0,99328,132800,12955.7,cuModuleLoad
0.0,1253216,20,62660.8,60816.0,33728,103616,20625.8,cuMulticastUnbind
0.0,989216,16,61826.0,67792.0,32384,82496,16085.5,cudaMemPoolCreate
0.0,890208,24,37092.0,30816.0,22112,68416,13924.1,cudaMemset
0.0,826048,12,68837.3,61424.0,49728,110752,18703.7,cudaMemGetInfo
0.0,743136,36,20642.7,19136.0,7936,57824,11915.5,cudaStreamDestroy
0.0,692832,16,43302.0,42736.0,21184,66752,12879.1,cudaMemPoolDestroy
0.0,470496,228,2063.6,1536.0,1056,6048,1152.5,cudaGetFuncBySymbol
0.0,400576,20,20028.8,24192.0,8288,36352,8971.5,cudaMemcpy
0.0,370464,228,1624.8,1408.0,928,4576,631.6,cudaStreamGetCaptureInfo
0.0,340672,6,56778.7,49152.0,46112,83424,14991.6,cuMulticastCreate
0.0,313312,464,675.2,704.0,224,1088,142.4,cuLibraryGetKernelCount
0.0,296960,464,640.0,704.0,224,928,141.3,cuLibraryEnumerateKernels
0.0,112032,34,3295.1,3104.0,1792,5600,995.2,cuInit
0.0,77824,120,648.5,384.0,320,11936,1207.6,cudaOccupancyMaxActiveClusters
0.0,77600,128,606.3,384.0,320,3776,470.0,cudaLibraryGetKernel
0.0,45472,68,668.7,608.0,96,2560,471.8,cudaGetDeviceProperties
0.0,37824,4,9456.0,9632.0,7200,11360,1754.8,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,33408,21,1590.9,320.0,96,7936,2501.3,cuModuleGetLoadingMode
0.0,24032,16,1502.0,1392.0,1056,1952,317.3,cudaMemPoolSetAttribute
0.0,10144,16,634.0,640.0,128,1472,323.0,cuMulticastGetGranularity
