Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.9,13013853184,185392,70196.4,14656.0,1312,187429696,508687.5,cudaMemcpyAsync
9.6,3049253312,329944,9241.7,6208.0,1984,93369440,325213.0,cudaLaunchKernel
9.2,2917759296,1050,2778818.4,2869968.0,480,9705440,1234529.6,cuMemExportToShareableHandle
7.3,2330996512,220352,10578.5,10912.0,2912,2043072,8621.8,cuLaunchKernelEx
7.1,2257026208,4072,554279.5,209680.0,41536,263891936,6411427.1,cuMemSetAccess
4.3,1371713984,24,57154749.3,51323936.0,18057408,96572544,29830656.4,cuMulticastBindMem
3.9,1244379744,108108,11510.5,11904.0,3840,1929088,15820.8,cudaLaunchKernelExC
3.1,996443776,83092,11992.1,3936.0,2528,923712,35622.5,cudaStreamSynchronize
2.1,683746592,1070,639015.5,632736.0,41696,2936032,499192.4,cuMemImportFromShareableHandle
1.8,564011008,288,1958371.6,1141952.0,27648,16889376,2691996.0,cuLibraryLoadData
1.5,488818048,3008,162506.0,79840.0,11200,63907296,2024088.5,cuMemCreate
1.4,432480064,1564,276521.8,177344.0,4480,24946432,1237577.3,cudaMalloc
1.4,430313600,4052,106197.8,81408.0,24352,1059200,86164.9,cuMemUnmap
1.1,357260160,4072,87735.8,59168.0,1984,64962368,1019484.6,cuMemMap
1.0,320743360,8064,39774.7,10512.0,64,1715552,75045.1,cuMemRelease
0.8,267180448,240,1113251.9,229648.0,2080,207426240,13374068.6,cudaFree
0.6,176651968,527864,334.7,256.0,64,33824,291.5,cuTensorMapEncodeTiled
0.4,138334304,157680,877.3,896.0,160,155136,922.6,cudaStreamIsCapturing
0.4,117826016,464,253935.4,101776.0,34688,22627168,1445851.3,cuKernelGetFunction
0.3,90143552,37668,2393.1,2400.0,800,24288,750.9,cudaEventRecordWithFlags
0.3,81732864,42812,1909.1,1920.0,480,117952,1538.1,cudaStreamWaitEvent
0.3,80266560,365372,219.7,192.0,32,19808,181.0,cuKernelGetName
0.2,74107392,11420,6489.3,6240.0,3808,62464,1805.8,cudaMemsetAsync
0.2,50421440,464,108666.9,106752.0,18624,276448,30522.7,cuLibraryUnload
0.1,44034560,464,94902.1,93456.0,42432,192384,22442.0,cuLibraryLoadFromFile
0.1,27822112,428,65004.9,54544.0,37696,529088,48746.6,cuModuleLoadData
0.1,27290880,512,53302.5,3952.0,2432,573376,97969.6,cudaStreamCreateWithPriority
0.1,23250080,128,181641.3,21488.0,448,10521504,1222897.1,cuKernelSetAttribute
