Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.5,17054310752,155934,109368.8,16800.0,1344,702046400,2695437.1,cudaMemcpyAsync
15.2,7745514752,338626,22873.4,10656.0,2656,502203968,2155988.4,cuLaunchKernelEx
12.3,6269412224,776307,8075.9,5504.0,2208,272332512,547893.4,cudaLaunchKernel
5.5,2782861824,225793,12324.8,11616.0,3360,272033856,572678.6,cudaLaunchKernelExC
5.4,2758526208,6596,418212.0,215584.0,42048,264077760,5290419.8,cuMemSetAccess
4.3,2202324224,798,2759804.8,2922992.0,352,8816896,1260265.1,cuMemExportToShareableHandle
3.5,1767484256,9520,185660.1,138048.0,2048,31007488,634944.9,cudaMalloc
2.8,1410429152,36,39178587.6,47565408.0,52352,76140704,24879579.0,cuMulticastBindMem
2.5,1254990368,7496,167421.3,118464.0,736,236606016,2732372.7,cudaFree
2.4,1204243264,489,2462665.2,10816.0,6496,118608896,15117901.6,cudaEventSynchronize
2.1,1049315328,6596,159083.6,82880.0,1920,129687104,2191874.2,cuMemMap
1.7,872565600,5776,151067.5,85008.0,11744,65421088,1358732.0,cuMemCreate
1.4,701035296,96767,7244.6,3904.0,1792,40174464,232255.1,cudaStreamSynchronize
1.2,588754080,816,721512.4,683488.0,33248,4132736,580431.7,cuMemImportFromShareableHandle
1.1,567177984,197,2879076.1,4448.0,2560,141570240,19982574.9,cudaDeviceSynchronize
1.1,547578272,284,1928092.5,907152.0,29152,17022048,2752303.2,cuLibraryLoadData
0.5,265857184,3024,87915.7,71616.0,26240,1131424,75065.6,cuMemUnmap
0.5,249279840,331043,753.0,768.0,160,161760,658.5,cudaStreamIsCapturing
0.5,234540800,125478,1869.2,1920.0,384,144032,1216.1,cudaStreamWaitEvent
0.4,226993152,102075,2223.8,2176.0,672,19296,692.2,cudaEventRecordWithFlags
0.4,224299232,620822,361.3,288.0,64,16224,295.5,cuTensorMapEncodeTiled
0.4,183100032,6052,30254.5,9568.0,64,1118240,55268.8,cuMemRelease
0.3,163439104,846441,193.1,160.0,32,19840,182.3,cuKernelGetName
0.3,151449888,472,320868.4,103056.0,51040,42178400,2405214.7,cuKernelGetFunction
0.1,52115392,6568,7934.7,7072.0,1184,162688,7247.8,cuMemAddressReserve
0.1,49569696,472,105020.5,104672.0,17696,270176,24035.5,cuLibraryUnload
0.1,48165920,532,90537.4,5056.0,2368,858048,165835.6,cudaStreamCreateWithPriority
0.1,45734400,472,96894.9,95216.0,40160,155968,22253.7,cuLibraryLoadFromFile
0.1,45237216,144,314147.3,22096.0,416,14880864,1678354.9,cuKernelSetAttribute
0.1,35824672,448,79965.8,58592.0,39552,4988640,237012.2,cuModuleLoadData
0.1,35113472,4968,7067.9,6752.0,3424,65696,2523.1,cudaMemsetAsync
0.1,26571232,101124,262.8,224.0,32,19040,229.7,cuKernelGetAttribute
0.0,18067520,396,45625.1,10032.0,1920,1610656,162820.5,cudaHostAlloc
0.0,12435264,88,141309.8,15072.0,3712,3647136,413724.3,cudaStreamCreateWithFlags
0.0,11097696,32792,338.4,224.0,128,158720,1632.6,cudaThreadExchangeStreamCaptureMode
0.0,8662976,36,240638.2,50288.0,35328,4019296,783818.8,cudaMemPoolCreate
0.0,6790720,32,212210.0,50944.0,10400,792000,301300.4,cuMulticastAddDevice
0.0,6651968,3024,2199.7,1920.0,672,23392,1431.8,cuMemAddressFree
0.0,6429120,400,16072.8,13728.0,64,64384,9618.8,cudaMemcpy
0.0,4510656,13224,341.1,224.0,160,13792,349.7,cudaGetDriverEntryPointByVersion
0.0,4073504,352,11572.5,448.0,192,180416,32776.7,cudaKernelSetAttributeForDevice
0.0,3318912,3000,1106.3,896.0,192,15072,1022.6,cuMemRetainAllocationHandle
0.0,3226496,6540,493.3,224.0,64,191808,6262.6,cuMemGetAllocationGranularity
0.0,2973120,14584,203.9,128.0,64,13760,270.0,cuGetProcAddress_v2
0.0,2898560,436,6648.1,5984.0,1632,21280,2996.6,cudaEventQuery
0.0,2216000,1068,2074.9,2016.0,224,19744,1586.1,cudaEventCreateWithFlags
0.0,2058880,40,51472.0,52144.0,25248,89312,15205.6,cudaLibraryLoadData
0.0,1507552,500,3015.1,1600.0,288,58080,5043.5,cuLibraryGetKernel
0.0,1487808,48,30996.0,20224.0,6816,187904,40799.9,cudaFreeHost
0.0,1375520,44,31261.8,31904.0,9376,77088,16718.5,cudaMemset
0.0,845664,12,70472.0,65104.0,44096,116224,21387.9,cuMulticastUnbind
0.0,747776,12,62314.7,62512.0,51616,69344,5282.3,cudaMemGetInfo
0.0,616864,8,77108.0,83440.0,33472,118080,40299.2,cuMemGetHandleForAddressRange
0.0,505728,12,42144.0,37744.0,25600,72480,13290.5,cudaMemPoolDestroy
0.0,489440,8,61180.0,55792.0,416,127072,64955.0,cuCtxSetCurrent
0.0,450144,188,2394.4,1408.0,448,29440,3907.7,cudaEventDestroy
0.0,434432,8,54304.0,45408.0,16000,112000,36505.6,cuMulticastCreate
0.0,425696,108,3941.6,3168.0,544,13920,2977.9,cudaEventRecord
0.0,425120,24,17713.3,18432.0,8640,33824,6568.1,cudaStreamDestroy
0.0,342176,4,85544.0,85600.0,79904,91072,4813.3,cudaLibraryUnload
0.0,337600,472,715.3,720.0,256,9248,425.0,cuLibraryGetKernelCount
0.0,307648,472,651.8,672.0,192,960,144.5,cuLibraryEnumerateKernels
0.0,160160,56,2860.0,2656.0,384,6592,1530.4,cuInit
0.0,149536,4,37384.0,37344.0,24576,50272,12469.6,cuCtxSynchronize
0.0,109280,176,620.9,384.0,288,2752,477.1,cudaLibraryGetKernel
0.0,103872,120,865.6,768.0,352,5120,799.4,cudaOccupancyMaxActiveClusters
0.0,74144,144,514.9,384.0,64,1920,373.5,cudaGetDeviceProperties
0.0,66016,16,4126.0,4352.0,1984,5440,974.2,cudaGetFuncBySymbol
0.0,53024,36,1472.9,1456.0,704,2912,496.9,cudaMemPoolSetAttribute
0.0,52128,36,1448.0,304.0,96,7584,2327.9,cuModuleGetLoadingMode
0.0,50272,4,12568.0,12624.0,11872,13152,539.5,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,43040,16,2690.0,2464.0,1056,4352,1007.7,cudaStreamGetCaptureInfo
0.0,22880,148,154.6,128.0,64,576,74.5,cuGetProcAddress
0.0,20320,4,5080.0,4992.0,4704,5632,400.0,cuCtxSetFlags
0.0,12832,29,442.5,352.0,160,960,233.9,cuMulticastGetGranularity
