Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.5,15756080224,83497,188702.4,60736.0,1344,708119136,3608656.5,cudaMemcpyAsync
15.9,6038635840,329087,18349.7,10560.0,2560,514707232,1581091.1,cuLaunchKernelEx
7.4,2818040672,174089,16187.4,11008.0,3328,504065664,1708447.8,cudaLaunchKernelExC
6.0,2290257664,786,2913813.8,2996528.0,384,6558048,1157984.6,cuMemExportToShareableHandle
4.9,1867272320,3044,613427.2,197648.0,41920,263249408,7563046.6,cuMemSetAccess
3.9,1490189664,78672,18941.8,10336.0,2080,99145920,711127.8,cudaLaunchKernel
2.9,1100829216,144,7644647.3,22128.0,448,653009728,63539281.7,cuKernelSetAttribute
2.9,1096338432,488,2246595.1,11072.0,5920,107980416,13370031.3,cudaEventSynchronize
1.8,696465696,16,43529106.0,42429936.0,20676864,68799296,18059769.5,cuMulticastBindMem
1.6,608473504,796,764413.9,789008.0,36704,4191392,586926.9,cuMemImportFromShareableHandle
1.3,490061376,268,1828587.2,877152.0,28544,17213984,2770298.6,cuLibraryLoadData
1.3,483943136,2120,228275.1,185184.0,4288,8106656,348670.6,cudaMalloc
1.3,481064064,73216,6570.5,3872.0,2528,44174272,301825.2,cudaStreamSynchronize
1.1,413489728,2256,183284.5,85760.0,15104,128483328,3015321.3,cuMemCreate
0.9,324833600,220,1476516.4,213184.0,2272,274450272,18488428.2,cudaFree
0.7,275284608,3044,90435.2,60368.0,1792,64942048,1177841.7,cuMemMap
0.7,251860672,775111,324.9,256.0,64,30560,291.0,cuTensorMapEncodeTiled
0.6,237048224,301949,785.1,800.0,160,159648,726.2,cudaStreamIsCapturing
0.6,216559776,102193,2119.1,2112.0,672,30560,689.8,cudaEventRecordWithFlags
0.5,207208384,124163,1668.8,1728.0,416,141472,1137.9,cudaStreamWaitEvent
0.5,199353280,3024,65923.7,46384.0,25056,1561216,72247.8,cuMemUnmap
0.3,120066368,6036,19891.7,10000.0,64,3777920,64140.4,cuMemRelease
0.3,104283840,496,210249.7,102112.0,40864,15152160,988915.0,cuKernelGetFunction
0.2,74602112,444,168022.8,59056.0,39072,23478240,1303136.1,cuModuleLoadData
0.1,55780768,496,112461.2,111392.0,18176,369408,31290.9,cuLibraryUnload
0.1,48135840,496,97048.1,95248.0,40256,175520,22742.9,cuLibraryLoadFromFile
0.1,40378560,512,78864.4,4384.0,2272,945600,145267.4,cudaStreamCreateWithPriority
0.1,25719072,101074,254.5,224.0,32,22816,247.7,cuKernelGetAttribute
0.1,25605824,97061,263.8,256.0,32,12864,201.0,cuKernelGetName
0.0,12804448,3044,4206.5,3264.0,1184,73440,4275.4,cuMemAddressReserve
0.0,12787264,264,48436.6,7984.0,1984,1598592,184847.7,cudaHostAlloc
0.0,10153696,1464,6935.6,6496.0,3840,62432,3391.6,cudaMemsetAsync
0.0,6033664,15248,395.7,288.0,128,193568,2570.3,cudaThreadExchangeStreamCaptureMode
0.0,5596320,3024,1850.6,1632.0,608,22368,1200.0,cuMemAddressFree
0.0,4488416,13180,340.5,224.0,160,11808,323.8,cudaGetDriverEntryPointByVersion
0.0,3681536,16,230096.0,58240.0,15008,795904,314460.4,cuMulticastAddDevice
0.0,3015680,256,11780.0,480.0,192,140896,31472.7,cudaKernelSetAttributeForDevice
0.0,3011776,3000,1003.9,800.0,192,15936,975.9,cuMemRetainAllocationHandle
0.0,2888384,418,6910.0,5984.0,2048,21952,3238.1,cudaEventQuery
0.0,2563456,3024,847.7,256.0,64,180832,9209.8,cuMemGetAllocationGranularity
0.0,2055424,28,73408.0,18976.0,4224,376224,113359.9,cudaStreamCreateWithFlags
0.0,2047552,9156,223.6,192.0,32,12512,305.5,cuGetProcAddress_v2
0.0,2025472,950,2132.1,2048.0,256,17632,1464.6,cudaEventCreateWithFlags
0.0,1633056,32,51033.0,53760.0,24160,99616,17820.6,cudaLibraryLoadData
0.0,1594400,48,33216.7,20832.0,7072,176672,41541.1,cudaFreeHost
0.0,1452032,444,3270.3,1584.0,256,82336,7026.8,cuLibraryGetKernel
0.0,760096,12,63341.3,62464.0,55296,83840,7518.1,cudaMemGetInfo
0.0,674528,12,56210.7,56400.0,37056,82528,13180.6,cuMulticastUnbind
0.0,622528,16,38908.0,30080.0,22912,78208,16199.5,cudaMemset
0.0,616416,16,38526.0,34832.0,27648,67040,11748.8,cudaDeviceSynchronize
0.0,581344,12,48445.3,44464.0,35424,68736,12070.6,cudaMemPoolCreate
0.0,521536,28,18626.3,20320.0,7648,32672,8297.5,cudaStreamDestroy
0.0,457312,12,38109.3,37360.0,26240,55200,9424.1,cudaMemPoolDestroy
0.0,403424,186,2168.9,1408.0,448,24992,3221.7,cudaEventDestroy
0.0,338912,496,683.3,736.0,256,1024,149.8,cuLibraryGetKernelCount
0.0,315424,496,635.9,672.0,192,960,153.1,cuLibraryEnumerateKernels
0.0,226688,52,4359.4,3136.0,736,15040,3487.0,cudaEventRecord
0.0,180672,8,22584.0,20128.0,10496,41184,12956.2,cudaMemcpy
0.0,174720,4,43680.0,38624.0,15360,82112,32144.2,cuMulticastCreate
0.0,100512,24,4188.0,288.0,128,45696,9748.6,cuModuleGetLoadingMode
0.0,99328,32,3104.0,3072.0,1664,4736,857.5,cuInit
0.0,82208,120,685.1,544.0,320,5184,747.8,cudaOccupancyMaxActiveClusters
0.0,72096,128,563.3,384.0,320,1696,359.9,cudaLibraryGetKernel
0.0,52960,12,4413.3,4400.0,3328,5120,504.8,cudaGetFuncBySymbol
0.0,52064,88,591.6,512.0,64,2464,422.7,cudaGetDeviceProperties
0.0,43648,4,10912.0,10032.0,8320,15264,3035.2,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,27648,12,2304.0,2544.0,1472,3104,653.2,cudaStreamGetCaptureInfo
0.0,19680,12,1640.0,1456.0,1152,2688,538.6,cudaMemPoolSetAttribute
0.0,7744,12,645.3,576.0,256,1152,306.6,cuMulticastGetGranularity
