Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.4,21745784733,13717,1585316.4,1815392.0,44640,634130486,7723960.8,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)64, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)8, (unsigned int)128, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)11, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
14.4,5657992248,2150,2631624.3,1464416.0,492928,391191081,20090383.4,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)8, (unsigned int)192, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)256, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
6.0,2347029463,860,2729104.0,2205296.0,219232,656090592,22338518.0,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)128, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)7, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
5.2,2045246978,301,6794840.5,2117088.0,295552,655019744,49605447.1,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)192, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)256, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
1.8,713947571,17200,41508.6,2464.0,2144,279072,89191.4,_fused_inv_rope_fp8_quant_per_head
1.4,554400177,172,3223256.8,3062592.0,52352,26596064,3236227.2,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)8, (unsigned int)128, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)11, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
1.2,470049392,2967,158425.8,197952.0,5888,255776,80286.8,"void sm100::fwd::head64::sparse_attn_fwd_kernel<(bool)0, sm100::fwd::head64::TmaParams<cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<(int)65536>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)3, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)64>>, cute::C<(int)8>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)4096>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)512>>>, cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<(int)32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)32>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)2, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)32>, cute::C<(int)64>>, cute::C<(int)2>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)2048>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>>>, cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<(int)65536>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)3, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)64>>, cute::C<(int)1>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)0>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>>>>>(SparseAttnFwdParams, T2)"
1.1,417852819,172,2429376.9,2426240.0,2414176,2455968,9017.8,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)1>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.9,335210389,68800,4872.2,2176.0,1728,43744,7239.7,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)16, (int)1>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.8,305328523,34400,8875.8,4864.0,4351,36224,9235.0,mhc_pre_big_fuse_with_norm_tilelang_kernel
