Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.4,3081855352,4872,632564.7,104512.0,34208,14269088,878165.4,"void <unnamed>::two_shot_all_reduce_kernel_inplace<c10::BFloat16, (int)16, (int)4>(T1 **, unsigned long, unsigned long, unsigned int **, unsigned long, unsigned long)"
20.5,2017873369,1548,1303535.8,1177856.0,523264,91751328,3108466.6,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)8, (unsigned int)192, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)256, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
7.4,728764737,348,2094151.5,404272.0,7168,133211520,12307063.0,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, (int)4>(vllm::RankData *, vllm::RankSignals, vllm::Signal *, T1 *, int, int)"
6.0,588553123,688,855455.1,847856.0,218528,46429183,2374526.0,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)128, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)7, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
4.3,417490462,172,2427270.1,2426992.0,2418080,2437504,4899.9,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)1>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3.2,310628631,2064,150498.4,192640.0,5760,252512,83440.9,"void sm100::fwd::head64::sparse_attn_fwd_kernel<(bool)0, sm100::fwd::head64::TmaParams<cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<(int)65536>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)3, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)64>>, cute::C<(int)8>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)4096>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)512>>>, cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_LOAD, cute::C<(int)32768>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)32>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)2, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)32>, cute::C<(int)64>>, cute::C<(int)2>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)2048>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>>>, cute::tuple<int, int, int>, cute::TiledCopy<cute::Copy_Atom<cute::Copy_Traits<cute::SM90_TMA_STORE, cute::C<(int)65536>, cute::AuxTmaParams<cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>, const cute::Layout<cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)1>>, cute::tuple<cute::ScaledBasis<cute::C<(int)1>, (int)1>, cute::ScaledBasis<cute::C<(int)1>, (int)0>, cute::ScaledBasis<cute::C<(int)1>, (int)2>>> &, const cute::Swizzle<(int)3, (int)4, (int)3> &>>, cutlass::bfloat16_t>, cute::Layout<cute::tuple<cute::C<(int)1>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)64>>, cute::C<(int)1>>>>, cute::tuple<cute::C<(int)0>, cute::tuple<cute::tuple<cute::tuple<cute::C<(int)64>, cute::C<(int)1>>, cute::C<(int)0>>>>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>>>>>(SparseAttnFwdParams, T2)"
2.8,279509430,172,1625054.8,930687.5,402208,88551293,7236199.1,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)192, (unsigned int)128, (unsigned int)128, (unsigned int)32, (unsigned int)256, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
2.8,275650846,172,1602621.2,626864.0,49792,145072226,11496181.7,"void deep_gemm::sm100_fp8_fp4_mega_moe_impl<(unsigned int)4224, (unsigned int)4096, (unsigned int)2048, (unsigned int)256, (unsigned int)6, (unsigned int)16, (unsigned int)16, (unsigned int)128, (unsigned int)128, (unsigned int)8, (unsigned int)128, (unsigned int)128, (unsigned int)113664, (unsigned int)1818624, (unsigned int)11, (unsigned int)128, (unsigned int)128, (unsigned int)256, (unsigned int)152, (unsigned int)4, (float)10.0, (bool)1, (unsigned int)4096, (unsigned int)4096, (unsigned int)4096, (unsigned int)2048, (unsigned int)4, (unsigned int)4, (unsigned int)8, (unsigned int)2, (unsigned int)512, (unsigned int)5, (unsigned int)64>(void *, int *, unsigned int, deep_gemm::layout::SymBuffer<T20>, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
1.7,167916857,4820,34837.5,46496.0,3424,48320,15040.3,mhc_post_tilelang_kernel
1.4,141406880,260,543872.6,546720.0,332288,549312,26435.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
